Textbox3,ExecutionTime
8/21/2023 5:00:04 AM,8/24/2023 5:38:47 PM

MandantenName,FilialKennung,GeraeteName,GeraeteBaujahr,GeraeteSeriennummer,GeraeteIPAdresse,GeraeteFirmware,GeraeteLastConnectionDatum,Textbox15
BYD,1416,1416_BYD_CheLmZa_2_E3L_WTouch,2021,10439037,197.72.162.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:10:55 AM,Verbindung ok
GDA,1901,1901_GDA_Gdansk_1_E64S_IS600e,2018,10389104,197.84.146.200,"19.01.3856 , 19.1.3856",8/24/2023 11:29:06 AM,Verbindung ok
KAT,1613,1613_KAT_Rybnik_4_E64L_IS600e,2019,10394909,197.77.210.203,"19.01.3856 , 19.1.3856",8/24/2023 12:15:18 PM,Verbindung ok
KAT,1273,1273_KAT_Chorzow_2_E3L_WTouch,2023,10493825,197.69.162.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:10:56 AM,Verbindung ok
KRA,1653,1653_KRA_Krakow _1_E3S_WTouch,2021,10458251,197.78.210.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.1.0",8/24/2023 7:00:54 AM,Verbindung ok
GDA,1901,1901_GDA_Gdansk_4_E64L_IS600e,2018,10389099,197.84.146.203,"19.01.3856 , 19.1.3856",8/24/2023 12:16:02 PM,Verbindung ok
KAT,1310,1310_KAT_Oswiecim_2_E3L_WTouch,2021,10442232,197.70.98.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:13:54 AM,Verbindung ok
BYD,2065,2065_BYD_ILawa_1_E3S_WTouch,2022,10480310,197.89.82.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:00:55 AM,Verbindung ok
LOD,2039,2039_LOD_Rzgow_1_E64S_IS600e,2020,10429180,197.87.138.200,"19.01.3856 , 19.1.3856",8/24/2023 11:29:06 AM,Keine Verbindung
KAT,1410,1410_KAT_Pszczyna_1_E64S_IS600e,2017,10349669,197.72.130.200,"19.01.3856 , 19.1.3856",8/24/2023 11:29:06 AM,Verbindung ok
WAR,1255,1255_WAR_Radom_2_E3L_WTouch,2021,10440646,197.69.50.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 19.2.17",8/24/2023 9:13:54 AM,Verbindung ok
POZ,1863,1863_POZ_Wolsztyn_4_E64L_IS600e,2018,10380689,197.84.98.203,"22.01.3879 , 22.1.3879",8/24/2023 12:16:02 PM,Verbindung ok
LUB,1456,1456_LUB_CheLm _4_E64L_IS600e,2016,10344876,197.73.178.203,"18.04.3839 , 18.4.3839",8/24/2023 12:16:02 PM,Verbindung ok
WAR,1509,1509_WAR_Przasnysz_3_E64S_IS600e,2016,10341282,197.75.10.202,"19.01.3856 , 19.1.3856",8/24/2023 11:29:06 AM,Verbindung ok
POZ,1780,1780_POZ_Poznan_5_E64S_IS600e,2019,10345062,197.81.242.204,"22.01.3879 , 22.1.3879",8/24/2023 11:29:06 AM,Verbindung ok
BYD,2123,2123_BYD_Lubawa_1_E3S_WTouch,2023,10476296,197.91.2.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:00:55 AM,Verbindung ok
WAR,1724,1724_WAR_Warszwa_2_E64L_IS600e,2019,10405670,197.80.154.201,"18.04.3839 , 18.4.3839",8/24/2023 12:16:02 PM,Verbindung ok
SZC,1074,1074_SZC_Szczecin_4_E3L_WTouch,2021,10441578,197.65.122.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:13:54 AM,Verbindung ok
SZC,1222,1222_SZC_Szczecin_2_E3L_WTouch,2021,10441659,197.68.146.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 19.2.17",8/24/2023 9:13:54 AM,Verbindung ok
LOD,1880,1880_LOD_Lodz_1_E64S_IS600e,2020,10420193,197.86.250.200,"19.01.3856 , 19.1.3856",8/24/2023 11:29:06 AM,Verbindung ok
GDA,1848,1848_GDA_Gdansk_2_E64L_IS600e,2017,10357859,197.83.146.201,"19.01.3856 , 19.1.3856",8/24/2023 12:16:02 PM,Verbindung ok
WAR,1099,1099_WAR_Warszawa_3_E3S_WTouch,2021,10441504,197.66.18.201:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:00:56 AM,Verbindung ok
KAT,1861,1861_KAT_Bielsko - BiaLa_1_E64S_IS600e,2018,10392079,197.84.194.200,"19.01.3856 , 19.1.3856",8/24/2023 11:31:53 AM,Verbindung ok
KAT,1261,1261_KAT_Piekary slaskie_2_E64L_IS600e,2017,10347905,197.69.74.201,"19.01.3856 , 19.1.3856",8/24/2023 12:16:02 PM,Verbindung ok
BYD,1873,1873_BYD_InowrocLaw_1_E64S_IS600e,2018,10368772,197.83.186.200,"19.01.3856 , 19.1.3856",8/24/2023 11:31:53 AM,Verbindung ok
WRO,1221,1221_WRO_WrocLaw_3_E3S_WTouch,2021,10441212,197.68.138.201:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.3.1",8/24/2023 7:00:57 AM,Verbindung ok
KAT,1759,1759_KAT_Czestochowa_1_E64S_IS600e,2020,10426768,197.87.154.200,"19.01.3856 , 19.1.3856",8/24/2023 11:31:53 AM,Verbindung ok
BYD,1982,1982_BYD_Torun (Galeria)_2_E64L_IS600e,2018,10390472,197.85.90.201,"22.01.3879 , 22.1.3879",8/24/2023 12:16:02 PM,Keine Verbindung
KAT,1888,1888_KAT_Oswiecim_4_E64L_IS600e,2016,10343495,197.83.50.203,"19.01.3856 , 19.1.3856",8/24/2023 12:16:02 PM,Verbindung ok
WRO,1126,1126_WRO_Walbrzych_3_E64S_IS600e,2017,10309706,197.66.178.202,"19.01.3856 , 19.1.3856",8/24/2023 11:31:53 AM,Verbindung ok
BYD,1882,1882_BYD_Bydgoszcz_4_E64L_IS600e,2018,10367708,197.83.202.203,"19.01.3856 , 19.1.3856",8/24/2023 12:16:02 PM,Verbindung ok
KRA,1571,1571_KRA_Krakow_1_E3S_WTouch,2021,10442773,197.76.170.200:8323/https://wiesheu-top.local,"21.8.0-1146 , 21.1.0",8/24/2023 7:00:58 AM,Verbindung ok
SZC,1454,1454_SZC_KoLobrzeg_5_E3S_WTouch,2021,10441022,197.73.162.202:8323/https://wiesheu-top.local,"21.8.0-1146 , 19.2.17",8/24/2023 7:00:59 AM,Verbindung ok
